date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2014-12-01,2,2.0,1.5,1190,1265,3.0,0,0.0,3,7,1190.0,0.0,2005,0.0,98133,47.09786321781365,-116.47138841052612,1390.0,1756
2014-06-24,4,4.0,1.75,2330,5000,1.5,0,0.0,4,7,1510.0,820.0,1929,0.0,98117,47.51755926180436,-118.0393878374547,1460.0,5000
2014-11-10,3,3.0,1.0,1090,3000,1.5,0,0.0,4,8,1090.0,0.0,1929,0.0,98117,47.81876927930978,-118.94274199159115,1570.0,5080
2014-06-13,4,3.0,2.5,2300,3060,1.5,0,0.0,3,8,1510.0,790.0,1930,2002.0,98115,47.73303236693409,-119.16861902591906,1590.0,3264
2014-05-28,3,4.0,1.0,1660,34848,1.0,0,0.0,1,5,930.0,730.0,1933,0.0,98052,47.6265220609173,-119.37721389766476,2160.0,11467
2014-12-30,4,4.0,2.0,2360,6000,2.0,0,0.0,4,8,2360.0,0.0,1904,0.0,98107,47.87003464353387,-117.8127566782341,1730.0,4700
2014-06-20,4,4.0,2.5,2620,7553,2.0,0,0.0,3,8,2620.0,0.0,1996,0.0,98056,47.64693102067831,-117.52047597447066,2620.0,11884
2014-08-11,4,4.0,2.25,4220,24186,1.0,0,0.0,3,8,2600.0,1620.0,1984,0.0,98166,47.62206654730596,-119.04853324627727,2410.0,30617
2014-07-29,2,3.0,1.0,1280,9656,1.0,0,0.0,4,6,920.0,360.0,1959,0.0,98058,47.44917368075152,-118.36597273298176,1340.0,8808
2014-07-18,3,3.0,2.5,3160,13603,2.0,0,0.0,3,8,3160.0,0.0,2003,0.0,98019,47.91486370959727,-118.67784261167304,3050.0,9232
2015-03-25,1,3.0,1.0,990,8528,1.0,0,0.0,3,6,990.0,0.0,1966,0.0,98023,47.41188983863944,-119.28393304352035,1228.0,8840
2015-04-28,3,3.0,1.75,1250,5963,1.0,0,0.0,4,7,1250.0,0.0,1953,0.0,98115,47.749077091785395,-118.56221700928828,970.0,5100
2015-02-17,2,5.0,2.5,3150,9134,1.0,0,0.0,4,8,1640.0,1510.0,1966,0.0,98056,47.4143570410631,-117.05227996087334,1990.0,9133
2014-12-31,3,3.0,1.75,1410,4080,1.0,0,0.0,4,7,1000.0,410.0,1950,0.0,98117,47.61832806431699,-119.2542507987706,1410.0,4080
2015-03-03,5,5.0,2.25,2730,6000,1.5,0,0.0,3,8,2130.0,600.0,1927,0.0,98105,47.48834642935591,-120.25693178840228,2730.0,6000
2014-05-12,4,4.0,2.5,2830,5000,2.0,0,0.0,3,9,2830.0,0.0,1995,0.0,98105,47.94234988515914,-118.12669794238785,1950.0,5000
2014-08-19,2,4.0,2.5,2250,4495,2.0,0,0.0,3,7,2250.0,0.0,2008,0.0,98042,47.06675148108179,-118.23854588403164,2250.0,4500
2014-08-27,5,5.0,3.25,3250,14342,2.0,0,4.0,4,8,3250.0,0.0,1968,0.0,98008,47.707713158484424,-117.7095178567712,2960.0,11044
2015-02-23,3,4.0,3.0,1850,9976,2.0,0,0.0,3,8,1850.0,0.0,1991,0.0,98059,47.54492126239385,-116.15095489981822,2270.0,8542
2014-08-28,2,3.0,1.75,1260,8400,1.0,0,0.0,3,7,1260.0,0.0,1954,0.0,98148,47.62364046980255,-118.0423724599712,1290.0,8750
2014-12-07,3,3.0,1.75,1540,1044,3.0,0,0.0,3,8,1540.0,0.0,2014,0.0,98115,47.860862870938604,-120.00322961665735,1580.0,3090
2014-06-03,3,3.0,2.25,1660,6000,1.0,0,0.0,3,7,1110.0,550.0,1979,0.0,98122,47.50654379271478,-119.2063623611222,1440.0,4080
2014-11-20,2,3.0,2.75,2770,3809,1.5,0,0.0,5,7,1770.0,1000.0,1925,0.0,98144,47.36692222506971,-119.22237005897114,1440.0,4000
2014-09-09,5,4.0,2.5,2720,11049,2.0,0,0.0,3,10,2720.0,0.0,1989,0.0,98004,47.71722881255361,-119.14391010213266,2750.0,11049
2014-08-25,1,3.0,1.0,1000,12070,1.0,0,0.0,4,7,1000.0,0.0,1968,0.0,98042,47.514894369985846,-119.817772264755,1010.0,12635
2014-06-12,5,5.0,2.25,3200,20158,1.0,0,0.0,3,8,1600.0,1600.0,1965,0.0,98004,47.90595816685993,-118.27604887977051,3390.0,20158
2015-01-05,2,3.0,2.0,1260,5612,1.0,0,0.0,4,7,1260.0,0.0,1972,0.0,98034,47.73312184624755,-117.4236316646292,1640.0,4745
2014-07-10,2,4.0,2.5,2380,5000,2.0,0,0.0,3,8,2380.0,0.0,2005,0.0,98038,47.72844572337861,-115.46333282262192,2420.0,5000
2015-03-16,2,3.0,1.75,1790,50529,1.0,0,0.0,5,7,1090.0,700.0,1965,0.0,98042,47.47740861512538,-119.16849199824014,1940.0,50529
2014-10-13,3,4.0,1.75,1760,7300,1.0,0,0.0,3,7,880.0,880.0,1956,0.0,98008,47.8479007405943,-116.799591162094,1680.0,7500
2015-04-20,3,3.0,1.0,1040,5060,1.0,0,0.0,3,7,1040.0,0.0,1941,0.0,98116,47.39441387132981,-116.8579698744197,890.0,5060
2014-06-09,3,3.0,1.0,1410,5060,1.0,0,0.0,4,7,910.0,500.0,1956,0.0,98133,47.844716786485996,-118.23699287372409,1130.0,5693
2015-03-23,4,4.0,2.5,3450,39683,2.0,0,0.0,3,10,3450.0,0.0,2002,0.0,98010,47.26748465184839,-117.25384269977349,3350.0,39750
2014-12-02,3,3.0,2.5,2350,5100,2.0,0,0.0,3,8,2350.0,0.0,2003,0.0,98038,47.364994725381344,-118.19285679703434,2350.0,5363
2014-10-28,2,2.0,1.0,2020,6720,1.0,0,0.0,3,7,1010.0,1010.0,1948,0.0,98118,47.38280500621463,-118.28490455109386,1720.0,6720
2014-11-03,2,5.0,2.25,2660,8400,1.5,0,0.0,5,7,2660.0,0.0,1961,0.0,98092,47.53389581014575,-117.70966750050933,1590.0,8165
2014-06-18,3,3.0,3.25,2770,6278,2.0,0,0.0,3,9,1980.0,790.0,2006,0.0,98056,47.6966931470784,-116.18227386496879,1900.0,7349
2014-05-19,1,2.0,2.25,1610,2040,2.0,0,0.0,4,7,1610.0,0.0,1979,0.0,98056,47.63831749452872,-117.67414969132773,1950.0,2025
2014-05-22,1,4.0,2.5,1980,7403,2.0,0,0.0,3,7,1980.0,0.0,1988,0.0,98023,47.229493346386995,-119.4173959682077,1980.0,7510
2015-03-11,5,5.0,2.75,3520,6353,2.0,0,0.0,4,10,3520.0,0.0,2001,0.0,98199,47.79519114708661,-118.59018004684593,2520.0,6250
2015-02-26,1,3.0,1.0,1200,10500,1.0,0,0.0,3,7,1200.0,0.0,1962,0.0,98023,47.553545571943175,-117.91608943173668,1350.0,10500
2014-09-08,5,4.0,2.5,3300,10250,1.0,0,0.0,3,7,2390.0,910.0,1946,1991.0,98040,47.81180820669224,-117.98908768876277,1950.0,6045
2015-03-30,1,3.0,1.75,1960,15681,1.0,0,0.0,3,7,1960.0,0.0,1967,0.0,98032,47.45928690498918,-118.45383430309884,1750.0,15616
2014-09-12,1,4.0,1.5,1160,6400,1.0,0,0.0,4,7,1160.0,0.0,1975,0.0,98023,47.51622959530248,-116.91407019464205,1160.0,6400
2014-07-11,2,3.0,1.75,1810,41800,1.0,0,0.0,5,7,1210.0,600.0,1980,0.0,98038,47.89780306743557,-118.15331054442193,1650.0,135036
2014-10-27,3,3.0,2.0,1980,3478,1.5,0,0.0,4,7,1440.0,540.0,1929,0.0,98117,47.44294390258133,-117.84386258710212,1610.0,3478
2014-12-12,4,3.0,2.25,2190,107593,2.0,0,0.0,4,8,2190.0,0.0,1983,0.0,98077,47.481557309582215,-119.75987823718893,2570.0,47777
2015-04-02,3,3.0,2.5,2340,10005,1.0,0,0.0,4,8,1460.0,880.0,1978,0.0,98058,47.39501785134979,-115.14847242184315,2250.0,8162
2014-05-23,3,3.0,1.0,1670,4005,1.5,0,0.0,4,7,1170.0,500.0,1939,0.0,98117,47.695797579947275,-118.28584775706537,1240.0,4005
2014-07-23,1,2.0,1.75,1240,2493,1.0,0,0.0,4,8,1240.0,0.0,1985,0.0,98198,47.357506094321025,-119.06665144112628,1270.0,4966
2014-07-25,3,4.0,2.5,2310,9624,2.0,0,0.0,3,8,2310.0,0.0,1984,0.0,98027,47.53424265497722,-118.45806405978183,1940.0,9636
2015-03-04,3,3.0,1.75,1260,3328,1.0,0,0.0,5,6,700.0,560.0,1905,0.0,98103,47.8274141977607,-118.4374451988108,1380.0,3536
2014-11-24,2,3.0,1.75,2080,5969,1.0,0,2.0,3,7,1080.0,1000.0,1971,0.0,98108,47.34097555162914,-119.58952265442714,2090.0,5500
2014-10-28,3,4.0,2.5,3230,16171,2.0,0,3.0,3,9,2520.0,710.0,2001,0.0,98001,46.98498071946867,-118.67272846868563,2640.0,8517
2014-11-21,4,3.0,3.5,4380,6350,2.0,0,0.0,3,8,2780.0,1600.0,1900,1999.0,98117,47.8247539133253,-119.21978484032957,1830.0,6350
2014-06-26,3,3.0,3.5,1590,1102,3.0,0,0.0,3,8,1590.0,0.0,2010,0.0,98103,47.627192243841456,-117.84038002001208,1620.0,3166
2015-05-11,3,4.0,1.0,1610,2982,1.5,0,0.0,4,7,1610.0,0.0,1925,0.0,98144,47.535352151230676,-117.23978892020432,1610.0,4040
2015-01-02,4,3.0,2.5,2400,6474,1.0,0,2.0,3,8,1560.0,840.0,1964,0.0,98177,47.781649998992364,-117.27093531649875,2340.0,10856
2014-11-19,3,3.0,2.0,1450,9132,1.0,0,0.0,3,7,1450.0,0.0,1987,0.0,98034,47.38957501243554,-116.58128512172026,1580.0,9104
2015-04-06,3,2.0,1.0,770,6000,1.0,0,0.0,3,6,770.0,0.0,1953,0.0,98117,47.35107771332849,-117.36015292970451,1710.0,6000
2014-06-18,4,3.0,2.25,2910,10204,2.0,0,0.0,3,9,2910.0,0.0,1990,0.0,98052,47.917357343945504,-118.44147376545715,2700.0,13992
2015-03-02,5,4.0,2.75,2750,17789,1.5,0,0.0,3,8,1980.0,770.0,1914,1992.0,98004,47.414108251998044,-117.49791605834112,3060.0,11275
2014-07-17,3,3.0,2.25,2100,8201,1.0,0,2.0,3,8,1620.0,480.0,1967,0.0,98178,47.51343537846172,-118.79076211131776,2660.0,8712
2014-07-17,2,4.0,2.25,2160,8811,1.0,0,0.0,3,8,1360.0,800.0,1978,0.0,98023,47.30225035794299,-119.48054564647153,2090.0,8400
2014-06-13,4,5.0,3.5,2320,4960,2.0,0,0.0,5,7,1720.0,600.0,1926,0.0,98103,47.3996393368851,-117.27009942644257,1700.0,4960
2015-04-06,3,4.0,2.5,2070,4310,2.0,0,0.0,3,7,2070.0,0.0,2004,0.0,98065,47.81175081546804,-116.33068290954328,1970.0,3748
2015-04-28,4,4.0,2.25,2010,9603,1.0,0,0.0,3,8,1440.0,570.0,1986,0.0,98027,47.92855109784765,-118.44497793356753,2060.0,9793
2014-06-12,4,3.0,3.5,3950,111078,1.5,0,0.0,3,9,2460.0,1490.0,1989,0.0,98052,47.55542445746048,-118.87999453352896,2480.0,88500
2014-05-12,3,3.0,2.5,2010,2287,2.0,0,0.0,3,8,1390.0,620.0,2014,0.0,98029,47.732045447677784,-119.13733196068254,1690.0,1662
2015-01-26,4,4.0,3.5,2140,2278,3.0,0,0.0,3,9,2140.0,0.0,2005,0.0,98107,47.875450218390576,-117.51984366574649,1540.0,2285
2014-08-13,1,3.0,1.75,1320,17390,1.0,0,0.0,4,7,1320.0,0.0,1956,0.0,98003,47.61964300596048,-119.29148721764841,1550.0,19265
2014-08-05,1,4.0,1.75,2020,7840,1.0,0,0.0,3,7,1010.0,1010.0,1968,0.0,98003,47.222708862883465,-118.01838137515415,1750.0,8140
2014-05-29,3,4.0,2.25,2590,10002,1.0,0,0.0,4,8,1340.0,1250.0,1968,0.0,98028,47.639053265884456,-118.7692607273492,1550.0,10436
2014-07-07,3,2.0,1.0,1190,4440,1.0,0,0.0,3,6,1190.0,0.0,1981,0.0,98125,47.21420660882549,-120.1751607746817,1060.0,5715
2014-07-08,3,5.0,2.5,2820,9375,1.0,0,0.0,4,8,1550.0,1270.0,1968,0.0,98006,47.532068959219856,-118.8366794971078,2820.0,9375
2015-04-15,3,3.0,1.0,1060,8097,1.0,0,0.0,4,7,940.0,120.0,1923,0.0,98133,47.4822986547255,-119.09609979331928,1560.0,7940
2015-02-27,3,4.0,2.25,2030,8517,1.0,0,0.0,4,8,1380.0,650.0,1961,0.0,98006,47.0806628000628,-120.2722261258555,2230.0,8824
2014-06-25,4,4.0,1.0,2550,4000,2.0,0,0.0,3,8,2370.0,180.0,1905,0.0,98109,47.36784946691218,-118.47976070897516,2200.0,4000
2014-08-06,3,2.0,2.5,2420,60984,2.0,0,0.0,3,7,2420.0,0.0,2007,0.0,98027,47.557182592897895,-119.68844796004036,1940.0,193842
2014-10-30,2,5.0,2.0,2260,12500,1.0,0,0.0,4,8,1130.0,1130.0,1960,0.0,98032,47.66421591973239,-117.54015780253172,1360.0,18000
2014-08-20,3,3.0,2.0,1360,3090,2.0,0,0.0,3,8,1360.0,0.0,1990,0.0,98103,47.79409154503338,-118.91687991206949,1500.0,3090
2015-04-09,3,3.0,1.0,1110,5000,1.5,0,0.0,3,7,1110.0,0.0,1947,0.0,98107,47.534917844562166,-117.66156655427172,1420.0,5000
2015-03-31,2,3.0,1.0,1250,8200,1.0,0,0.0,4,7,1250.0,0.0,1954,0.0,98003,47.45224726122214,-118.0212817313311,1680.0,8633
2014-05-16,2,1.0,1.0,700,5100,1.0,0,0.0,3,7,700.0,0.0,1942,0.0,98115,47.481797596785285,-117.91052131933986,1010.0,5100
2014-07-28,1,3.0,1.0,1180,7669,1.0,0,0.0,4,7,1180.0,0.0,1967,0.0,98058,47.59918690123929,-118.71778397883782,1190.0,7669
2014-11-20,4,5.0,3.5,3960,25245,2.0,0,0.0,3,9,2500.0,1460.0,1996,0.0,98056,47.611366123666144,-118.84888864290649,2640.0,13675
2014-08-07,2,4.0,2.75,2640,7500,1.0,0,0.0,3,8,1620.0,1020.0,1967,0.0,98023,47.040080095752586,-119.23968241873574,1980.0,7875
2014-10-03,2,4.0,1.75,1760,11180,1.0,0,0.0,4,8,1760.0,0.0,1968,0.0,98059,47.08333119632322,-119.50921213266749,1730.0,11180
2014-05-07,2,5.0,2.25,2060,8632,1.0,0,0.0,3,7,1030.0,1030.0,1962,0.0,98146,47.64077489749825,-120.55573886588734,1010.0,11680
2015-03-09,3,3.0,1.75,1780,9660,1.0,0,0.0,3,7,1780.0,0.0,1962,0.0,98034,47.64163334219134,-118.70323759004421,1200.0,9660
2015-03-04,4,3.0,2.5,3400,16603,2.0,0,0.0,3,10,3400.0,0.0,2000,0.0,98075,47.57435231277936,-119.34724602752415,3400.0,12601
2014-06-20,3,3.0,2.75,1910,7280,1.0,0,0.0,3,7,1160.0,750.0,1979,0.0,98034,47.464576036243955,-118.22871562257922,1710.0,8152
2014-08-12,3,3.0,2.0,2020,38332,1.0,0,0.0,4,7,1010.0,1010.0,1975,0.0,98027,47.3670793515765,-117.6126936198116,2110.0,36590
2014-12-08,2,3.0,1.75,1580,7000,1.0,0,0.0,3,7,1180.0,400.0,1976,0.0,98034,47.624823624876825,-117.90396395785721,1640.0,7500
2015-02-19,2,2.0,1.75,1340,7250,1.0,0,0.0,5,5,700.0,640.0,1949,0.0,98198,47.39517560780941,-117.90641196680193,1830.0,9750
2015-03-24,4,4.0,2.5,2680,4499,2.0,0,0.0,3,9,2680.0,0.0,1999,0.0,98006,47.459443846269465,-117.37757270488649,2920.0,4500
2014-06-11,3,3.0,2.0,1370,8336,1.0,0,0.0,5,7,1370.0,0.0,1964,0.0,98133,47.64171469200977,-118.71782890222455,1770.0,7288
2015-03-16,2,3.0,1.75,1560,21000,1.0,0,0.0,3,7,1560.0,0.0,1954,0.0,98166,47.620865270901604,-117.98114611486713,1070.0,7920
2015-01-02,2,3.0,1.75,2160,7140,1.0,0,0.0,4,7,1670.0,490.0,1978,0.0,98023,47.2422517548965,-117.855821597831,1930.0,7350
2014-09-29,4,4.0,2.25,2590,8190,2.0,0,0.0,4,8,2590.0,0.0,1980,0.0,98006,47.3298400912669,-116.44199088398963,2260.0,8335
2015-02-10,3,3.0,2.5,1120,1100,2.0,0,0.0,3,8,820.0,300.0,2008,0.0,98122,47.39888445021011,-118.17964076905665,1590.0,1795
2014-07-09,3,5.0,2.75,1970,5400,1.0,0,0.0,3,7,1320.0,650.0,1986,0.0,98144,47.67795684174925,-119.7299132516901,1280.0,2150
2014-05-30,3,3.0,1.0,1220,4800,1.0,0,0.0,3,6,1220.0,0.0,1901,0.0,98122,47.38795899399087,-118.38224675484315,1200.0,4800
2015-01-07,2,2.0,1.0,1350,8220,1.0,0,0.0,3,7,1060.0,290.0,1949,0.0,98177,47.55647437368598,-116.38235777424143,1540.0,8280
2015-04-14,3,4.0,3.0,2380,5125,1.5,0,0.0,4,7,1680.0,700.0,1925,0.0,98126,47.31577020148354,-118.03765941234884,1410.0,5375
2014-06-13,3,4.0,3.0,2440,9600,2.0,0,0.0,5,7,2440.0,0.0,1961,0.0,98034,47.750959455220745,-119.25303344281096,2290.0,9600
2014-07-23,1,2.0,1.5,1050,3419,2.0,0,0.0,3,7,1050.0,0.0,1996,0.0,98038,47.3463887445697,-118.80305229705529,1050.0,3417
2014-09-05,4,4.0,2.75,3130,13412,2.0,0,0.0,3,9,2140.0,990.0,1993,0.0,98052,47.78652196628356,-119.01207063672544,2260.0,9984
2014-11-21,5,5.0,3.0,4090,12850,1.0,0,2.0,4,10,2090.0,2000.0,1986,0.0,98033,47.76863672912869,-119.30936106428499,2540.0,10270
2014-05-05,3,3.0,2.5,1900,8744,2.0,0,0.0,3,8,1900.0,0.0,1987,0.0,98074,47.649102632055595,-117.1607749734923,2030.0,8744
2015-04-18,4,4.0,1.0,1330,2400,1.5,0,0.0,4,6,1330.0,0.0,1901,0.0,98103,47.92087290276949,-118.36217112308763,1330.0,4400
2014-08-18,2,3.0,1.75,1650,9480,1.0,0,0.0,3,7,1220.0,430.0,1977,0.0,98034,47.71318711561774,-117.69024871482624,1540.0,8400
2014-11-05,1,3.0,1.0,1190,8820,1.0,0,0.0,3,6,1190.0,0.0,1959,0.0,98058,47.597756549187785,-116.87741556154992,1230.0,7980
2014-06-25,3,3.0,2.5,2180,7508,1.0,0,0.0,4,7,1420.0,760.0,1962,0.0,98133,47.741195763558466,-117.71398135621622,1900.0,7818
2014-12-01,1,3.0,1.0,1060,10228,1.0,0,0.0,3,7,1060.0,0.0,1948,0.0,98155,47.82839000960853,-117.95486656506216,1570.0,10228
2014-05-15,2,3.0,2.5,1690,5025,2.0,0,0.0,3,8,1690.0,0.0,2003,0.0,98023,47.01129740262043,-116.656214838564,2550.0,5001
2014-11-11,3,4.0,2.0,1970,6480,1.5,0,0.0,5,7,1130.0,840.0,1920,0.0,98108,47.771703871637285,-119.7666197663258,1500.0,6480
2015-01-13,3,3.0,2.5,1910,66211,2.0,0,0.0,3,7,1910.0,0.0,1997,0.0,98024,47.492206594896146,-116.73328296586676,2330.0,67268
2015-03-11,1,3.0,1.0,860,11725,1.0,0,0.0,4,6,860.0,0.0,1943,0.0,98056,47.60798034546307,-118.59694022693769,1300.0,9514
2014-11-12,2,3.0,2.5,1940,14952,2.0,0,0.0,3,8,1940.0,0.0,1994,0.0,98042,47.28371151699318,-117.67405334103529,2030.0,10450
2014-08-04,1,3.0,1.5,1300,7370,1.0,0,0.0,4,7,900.0,400.0,1976,0.0,98023,47.16568923339244,-117.71244479471385,1430.0,7500
2015-03-03,2,3.0,1.0,910,8450,1.0,0,0.0,4,6,910.0,0.0,1962,0.0,98059,47.34939441273029,-118.43414607294113,1400.0,8040
2014-08-04,4,4.0,1.75,2480,11010,1.0,0,0.0,4,9,1630.0,850.0,1966,0.0,98040,47.40615943180286,-118.73418432355969,2770.0,10744
2014-11-23,1,2.0,0.75,900,9600,1.0,0,0.0,3,6,900.0,0.0,1941,0.0,98166,47.21591337350387,-118.52988262670212,1250.0,14280
2014-07-17,3,6.0,3.0,2300,3404,2.0,0,0.0,3,7,1600.0,700.0,1920,1994.0,98133,47.83169704891653,-118.84077064199059,1560.0,1312
2015-04-22,2,4.0,2.25,1550,7579,2.0,0,0.0,3,8,1550.0,0.0,1993,0.0,98038,47.545738699715145,-117.33426057195472,1630.0,6397
2014-07-17,4,3.0,2.25,1270,1566,2.0,0,0.0,3,8,1060.0,210.0,2014,0.0,98105,47.80490423036209,-117.83318051080938,1160.0,1327
2014-05-15,3,4.0,2.5,2240,12032,1.0,0,0.0,3,9,2240.0,0.0,1983,0.0,98074,47.62993129826766,-117.58004917373846,2520.0,12368
2015-01-14,3,3.0,2.5,2714,17936,2.0,0,0.0,3,9,2714.0,0.0,2005,0.0,98001,46.93485684005044,-118.34941292247721,2590.0,18386
2015-01-15,2,2.0,1.0,850,16400,1.0,0,0.0,3,6,850.0,0.0,1923,0.0,98168,47.51248999236793,-117.17455636195477,1100.0,14459
2015-02-21,5,5.0,3.0,3300,33474,1.0,0,3.0,3,9,1870.0,1430.0,1957,1991.0,98040,47.75754094512504,-117.32707659105152,3836.0,20953
2014-07-03,3,3.0,2.5,2250,5692,2.0,0,0.0,3,8,2250.0,0.0,2000,0.0,98146,47.91999399560997,-117.7989119239623,1320.0,5390
2014-08-22,4,4.0,2.5,2760,6440,2.0,0,0.0,3,10,2760.0,0.0,1999,0.0,98075,47.616523811482935,-117.48721499996857,3070.0,8127
2014-06-05,2,3.0,2.0,1750,9750,1.0,0,0.0,3,7,1350.0,400.0,1961,0.0,98198,47.77610046708462,-117.3240041985658,1900.0,10125
2014-09-18,2,3.0,2.25,2220,16020,1.0,0,0.0,4,8,1780.0,440.0,1966,0.0,98030,47.41300669811865,-118.49800052416036,2080.0,9583
2014-09-03,2,3.0,2.25,2020,8379,2.0,0,0.0,3,7,2020.0,0.0,1994,0.0,98038,47.4830204614352,-117.8793449106316,2020.0,8031
2014-06-04,3,3.0,2.25,1250,7500,1.0,0,0.0,5,7,1250.0,0.0,1942,0.0,98146,47.60026960621252,-117.80723015396744,1280.0,7392
2014-05-29,2,4.0,2.25,1720,9753,1.0,0,0.0,4,7,1120.0,600.0,1978,0.0,98023,46.98174634607439,-117.73702910935286,1510.0,9753
2015-01-15,1,3.0,1.0,1430,15246,1.0,0,0.0,4,7,980.0,450.0,1961,0.0,98031,47.31600950585832,-118.00030926729244,1960.0,13068
2015-03-03,3,3.0,2.5,1480,4729,2.0,0,0.0,3,7,1480.0,0.0,2004,0.0,98053,47.65399408536534,-115.89668706338648,2250.0,4729
2014-06-16,3,4.0,2.75,2280,15347,1.0,0,0.0,5,7,2280.0,0.0,1960,0.0,98059,47.50275374220468,-119.04454532602614,2280.0,15347
2014-11-21,2,6.0,2.75,2940,7350,1.0,0,0.0,3,8,1780.0,1160.0,1978,0.0,98023,47.30000191968207,-118.69687494545185,2120.0,8236
2014-11-20,1,2.0,1.0,1000,10200,1.0,0,0.0,3,6,1000.0,0.0,1961,0.0,98024,47.421566573839065,-117.2008637844812,1150.0,13702
2014-09-02,3,3.0,1.5,2480,5280,1.5,0,0.0,5,7,1620.0,860.0,1947,0.0,98108,47.696443017889855,-117.08614334662302,2090.0,4800
2014-06-10,5,5.0,4.0,3760,28040,2.0,0,0.0,3,10,3760.0,0.0,1983,0.0,98033,47.565305404291294,-119.11564701313058,3430.0,35096
2015-04-09,3,3.0,2.0,2220,94300,1.0,0,0.0,5,7,1640.0,580.0,1976,0.0,98010,47.22194441498192,-118.21142487380185,2070.0,80100
2015-03-20,3,4.0,1.0,1970,4740,1.5,0,0.0,3,7,1670.0,300.0,1904,2005.0,98122,47.410814787757396,-118.95396096621543,1510.0,4740
2014-05-29,3,6.0,2.5,4410,14034,1.0,0,2.0,4,9,2350.0,2060.0,1965,0.0,98003,47.45117247774842,-118.30334204031007,2600.0,13988
